,SRR31057072,SRR31057073,SRR31057081,SRR31057092,SRR31057103,SRR31057114,SRR31057122,SRR31057123,SRR31057124,SRR31057125,SRR31057126,SRR31057127,SRR31057128,SRR31057129,SRR31057130,SRR31057131,SRR31057132,SRR31057133,SRR31057134,SRR31057135,SRR31057136,SRR31057137,SRR31057138,SRR31057139,SRR31057140,SRR31057141,SRR31057142,SRR31057143,SRR31057144,SRR31057145,SRR31057146,SRR31057147,SRR31057148,SRR31057149,SRR31057150,SRR31057151,SRR31057152,SRR31057153,SRR31057154,SRR31057155,SRR31057156,SRR31057157,SRR31057158,SRR31057159
Gliridae_Glis_glis-otu-33-623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gobiidae_Neogobius_nigricans-otu-45-271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Hominidae_Homo_sapiens-otu-103-20,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0
Hominidae_Homo_unknown-otu-98-26,4,0,29,0,1,3,0,0,3,2,0,1,1,11,7,0,3,3,3,1,0,2,1,0,3,3,0,4,0,0,0,6,0,0,0,0,0,0,0,5,0,1,4,0
Hominidae_unknown_unknown-otu-23-2367,218,532,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,189,0,0,0,0,0,0,0,1,0,0,0,0,0,310,777,0,0,0,763,0,0
Leuciscidae_Phoxinus_unknown-otu-4-227374,9663,871,73139,0,0,0,0,1,0,0,0,0,0,0,1,0,14882,11901,17058,21018,2,19471,14850,37,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,12711,16387,20261,0,0
Leuciscidae_Rutilus_pigus-otu-59-127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0
Leuciscidae_Squalius_squalus-otu-5-152686,10474,727,76460,0,0,2,0,0,0,0,3,0,1,0,0,0,6102,3627,2453,2269,0,3385,4712,18,0,0,1,1,1,1,0,1,0,1,0,0,1,0,31,10739,9532,21867,0,0
Leuciscidae_Telestes_unknown-otu-2-338761,2,542,3401,3,29685,20249,0,5,18214,21073,21028,17664,31505,26053,28823,0,491,889,475,985,1,443,826,1,1263,7254,11896,8081,17380,8848,2,35424,0,0,3,3,2,1,2,360,110,2131,30125,0
Molossidae_unknown_unknown-otu-58-128,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0
Muridae_Mus_unknown-otu-30-1010,0,0,0,0,0,0,0,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muridae_Rattus_unknown-otu-35-531,0,0,0,0,0,0,0,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
