,SRR31057074,SRR31057075,SRR31057076,SRR31057077,SRR31057078,SRR31057079,SRR31057080,SRR31057082,SRR31057083,SRR31057084,SRR31057085,SRR31057086,SRR31057087,SRR31057088,SRR31057089,SRR31057090,SRR31057091,SRR31057093,SRR31057094,SRR31057095,SRR31057096,SRR31057097,SRR31057098,SRR31057099,SRR31057100,SRR31057101,SRR31057102,SRR31057104,SRR31057105,SRR31057106,SRR31057107,SRR31057108,SRR31057109,SRR31057110,SRR31057111,SRR31057112,SRR31057113,SRR31057115,SRR31057116,SRR31057117,SRR31057118,SRR31057119,SRR31057120,SRR31057121
Leuciscidae_Telestes_unknown-otu-68-35,0,0,2,64,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
Leuciscidae_unknown_unknown-otu-65-37,0,0,0,0,0,0,0,0,0,8,0,4,24,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muridae_Apodemus_sylvaticus-otu-48-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0
Muridae_Mus_musculus-otu-51-85,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muridae_Rattus_rattus-otu-28-542,0,76,445,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phasianidae_unknown_unknown-otu-47-126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmonidae_Salmo_unknown-otu-5-45197,0,0,0,0,0,0,0,0,0,130,35,77,0,188,145,0,4101,4706,5391,7232,12134,6041,0,0,248,33,1661,1890,5879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soricidae_Neomys_anomalus-otu-54-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soricidae_Neomys_fodiens-otu-45-157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suidae_Sus_scrofa-otu-17-1562,0,0,554,0,180,0,0,234,0,0,0,0,0,0,45,0,0,347,0,170,0,0,0,0,0,0,231,0,373,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0
Turdidae_Turdus_philomelos-otu-39-313,0,0,0,0,0,0,28,0,0,0,89,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turdidae_unknown_unknown-otu-37-338,0,0,0,0,0,0,0,0,0,31,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,145,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ursidae_Ursus_unknown-otu-9-12249,0,14151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0
Ursidae_unknown_unknown-otu-104-11,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vespertilionidae_Myotis_daubentonii-otu-101-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
sample,198,16924,15812,431949,5585,11157,18696,13423,8794,19359,12668,11149,46247,19735,16966,3411,12026,14578,10122,18968,26693,13325,136550,12186,22898,15043,8811,14506,23199,1649,14451,14125,15581,9863,22176,13440,14884,7505,11048,12134,13426,15143,12017,0
unknown_unknown_unknown-otu-100-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-102-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-103-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-105-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-106-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-107-10,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-108-10,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-109-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown_unknown_unknown-otu-14-3239,0,0,0,3394,0,0,0,117,0,0,0,0,0,0,0,0,2,0,0,6,0,2,0,0,0,0,170,159,136,0,0,0,0,0,0,0,0,0,0,91,0,0,33,0
unknown_unknown_unknown-otu-15-2504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,95,0,0,0,0,0,3208,0,0,0
unknown_unknown_unknown-otu-16-1850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,1452,147,0,297,55,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0
