BioSample,sample_name,SRS,fastq,river,replicate,primer,latitude,longitude
SAMN44358409,23_TAN_Adx_Tele02,SRS22957691,SRR31057105,TANARO,r6,Tele02,44.11957783,7.853748951
SAMN44358350,1_ARG2_NEG _Vert01,SRS22957637,SRR31057159,ARGENTINA,neg,Vert01,43.97906414,7.795662644
SAMN44358356,7_ARG2_Csx _Vert01,SRS22957693,SRR31057103,ARGENTINA,r1,Vert01,43.97906414,7.795662644
SAMN44358355,6_ARG2_Cdx _Vert01,SRS22957682,SRR31057114,ARGENTINA,r2,Vert01,43.97906414,7.795662644
SAMN44358354,5_ARG2_Bsx _Vert01,SRS22957670,SRR31057125,ARGENTINA,r3,Vert01,43.97906414,7.795662644
SAMN44358353,4_ARG2_Bdx _Vert01,SRS22957660,SRR31057136,ARGENTINA,r4,Vert01,43.97906414,7.795662644
SAMN44358352,3_ARG2_Asx _Vert01,SRS22957650,SRR31057147,ARGENTINA,r5,Vert01,43.97906414,7.795662644
SAMN44358351,2_ARG2_Adx _Vert01,SRS22957641,SRR31057158,ARGENTINA,r6,Vert01,43.97906414,7.795662644
SAMN44358378,36_BEV1_NEG _Vert01,SRS22957657,SRR31057139,BEVERA,neg,Vert01,43.86558284,7.523820261
SAMN44358384,42_BEV1_Csx _Vert01,SRS22957665,SRR31057132,BEVERA,r1,Vert01,43.86558284,7.523820261
SAMN44358383,41_BEV1_Cdx _Vert01,SRS22957661,SRR31057133,BEVERA,r2,Vert01,43.86558284,7.523820261
SAMN44358382,40_BEV1_Bsx _Vert01,SRS22957663,SRR31057134,BEVERA,r3,Vert01,43.86558284,7.523820261
SAMN44358381,39_BEV1_Bdx _Vert01,SRS22957662,SRR31057135,BEVERA,r4,Vert01,43.86558284,7.523820261
SAMN44358380,38_BEV1_Asx _Vert01,SRS22957659,SRR31057137,BEVERA,r5,Vert01,43.86558284,7.523820261
SAMN44358379,37_BEV1_Adx _Vert01,SRS22957658,SRR31057138,BEVERA,r6,Vert01,43.86558284,7.523820261
SAMN44358371,29_CAR_NEG _Vert01,SRS22957648,SRR31057146,CARPASINA,neg,Vert01,43.94761648,7.863408403
SAMN44358377,35_CAR_Csx _Vert01,SRS22957655,SRR31057140,CARPASINA,r1,Vert01,43.94761648,7.863408403
SAMN44358376,34_CAR_Cdx _Vert01,SRS22957653,SRR31057141,CARPASINA,r2,Vert01,43.94761648,7.863408403
SAMN44358375,33_CAR_Asx _Vert01,SRS22957656,SRR31057142,CARPASINA,r3,Vert01,43.94761648,7.863408403
SAMN44358374,32_CAR_Adx _Vert01,SRS22957652,SRR31057143,CARPASINA,r4,Vert01,43.94761648,7.863408403
SAMN44358373,31_CAR_Bsx _Vert01,SRS22957654,SRR31057144,CARPASINA,r5,Vert01,43.94761648,7.863408403
SAMN44358372,30_CAR_Bdx _Vert01,SRS22957651,SRR31057145,CARPASINA,r6,Vert01,43.94761648,7.863408403
SAMN44358392,Mock_Vert01,SRS22957674,SRR31057123,NA,PCR_neg,Vert01,NA,NA
SAMN44358393,BlnkpPCR_Vert01,SRS22957676,SRR31057122,NA,PCR_pos,Vert01,NA,NA
SAMN44358385,50_NER2_NEG _Vert01,SRS22957664,SRR31057131,NERVIA,neg,Vert01,43.93151276,7.664750728
SAMN44358391,56_NER2_Csx _Vert01,SRS22957672,SRR31057124,NERVIA,r1,Vert01,43.93151276,7.664750728
SAMN44358390,55_NER2_Cdx _Vert01,SRS22957671,SRR31057126,NERVIA,r2,Vert01,43.93151276,7.664750728
SAMN44358389,54_NER2_Bsx _Vert01,SRS22957669,SRR31057127,NERVIA,r3,Vert01,43.93151276,7.664750728
SAMN44358388,53_NER2_Bdx _Vert01,SRS22957668,SRR31057128,NERVIA,r4,Vert01,43.93151276,7.664750728
SAMN44358387,52_NER2_Asx _Vert01,SRS22957667,SRR31057129,NERVIA,r5,Vert01,43.93151276,7.664750728
SAMN44358386,51_NER2_Adx _Vert01,SRS22957666,SRR31057130,NERVIA,r6,Vert01,43.93151276,7.664750728
SAMN44358357,8_ROI1_NEG _Vert01,SRS22957704,SRR31057092,ROIA,neg,Vert01,43.86462754,7.569849651
SAMN44358363,14_ROI1_Csx _Vert01,SRS22957643,SRR31057155,ROIA,r1,Vert01,43.86462754,7.569849651
SAMN44358362,13_ROI1_Cdx _Vert01,SRS22957639,SRR31057156,ROIA,r2,Vert01,43.86462754,7.569849651
SAMN44358361,12_ROI1_Asx _Vert01,SRS22957638,SRR31057157,ROIA,r3,Vert01,43.86462754,7.569849651
SAMN44358360,11_ROI1_Adx _Vert01,SRS22957724,SRR31057072,ROIA,r4,Vert01,43.86462754,7.569849651
SAMN44358359,10_ROI1_Bsx_Vert01,SRS22957723,SRR31057073,ROIA,r5,Vert01,43.86462754,7.569849651
SAMN44358358,9_ROI1_Bdx _Vert01,SRS22957714,SRR31057081,ROIA,r6,Vert01,43.86462754,7.569849651
SAMN44358364,22_TAN_NEG _Vert01,SRS22957647,SRR31057154,TANARO,neg,Vert01,44.11957783,7.853748951
SAMN44358370,28_TAN_Csx _Vert01,SRS22957649,SRR31057148,TANARO,r1,Vert01,44.11957783,7.853748951
SAMN44358369,27_TAN_Cdx _Vert01,SRS22957642,SRR31057149,TANARO,r2,Vert01,44.11957783,7.853748951
SAMN44358368,26_TAN_Bsx _Vert01,SRS22957640,SRR31057150,TANARO,r3,Vert01,44.11957783,7.853748951
SAMN44358367,25_TAN_Bdx _Vert01,SRS22957646,SRR31057151,TANARO,r4,Vert01,44.11957783,7.853748951
SAMN44358366,24_TAN_Asx _Vert01,SRS22957645,SRR31057152,TANARO,r5,Vert01,44.11957783,7.853748951
SAMN44358365,23_TAN_Adx _Vert01,SRS22957644,SRR31057153,TANARO,r6,Vert01,44.11957783,7.853748951
